DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 03:40,2.5,0,5.5,0,0,92,7823,5025,812,283,1984,2156,0.1,0.06,0.05,Normal
09-04-2019 03:45,2.53,0,6.57,0,0,90.91,7823,5029,801,283,1991,2152,0.04,0.06,0.05,Normal
09-04-2019 03:50,2.49,0,6.97,0,0,90.55,7823,5029,801,283,1991,2152,0,0.03,0.05,Normal
09-04-2019 03:55,2.5,0,6.5,0,0,91,7823,5029,801,283,1991,2152,0,0.03,0.05,Normal
09-04-2019 04:00,1.5,0,5,0,0,93.5,7823,5030,800,283,1992,2150,0.02,0.03,0.05,Normal
09-04-2019 04:05,1.52,0,7.07,0,0,91.41,7823,5029,801,283,1992,2152,0,0.01,0.05,Normal
09-04-2019 04:10,2.01,0,6.03,0,0,91.96,7823,5030,800,283,1991,2151,0.01,0.04,0.05,Normal
09-04-2019 04:15,2.5,0,6,0,0,91.5,7823,5029,801,283,1992,2151,0,0.03,0.05,Normal
09-04-2019 04:20,2.01,0,5.03,0,0,92.96,7823,5030,800,283,1992,2151,0.04,0.03,0.05,Normal
09-04-2019 04:25,2.51,0,6.53,0,0,90.95,7823,5030,800,283,1992,2151,0,0.03,0.05,Normal
09-04-2019 04:30,2.02,0,5.56,0,0,92.42,7823,5031,799,283,1992,2150,0.06,0.09,0.06,Normal
09-04-2019 04:35,2.51,0,8.54,0,0,88.94,7823,5030,800,283,1992,2151,0,0.06,0.05,Normal
09-04-2019 04:40,2.53,0,5.05,0,0,92.42,7823,5029,800,283,1992,2151,0.01,0.05,0.05,Normal
09-04-2019 04:45,2.51,0,8.54,0,0,88.94,7823,5028,801,283,1993,2152,0.05,0.05,0.05,Normal
09-04-2019 04:50,2.51,0,5.53,0,0,91.96,7823,5028,801,283,1993,2152,0.08,0.06,0.05,Normal
09-04-2019 04:55,1.51,0,6.53,0,0,91.96,7823,5028,801,283,1993,2152,0.01,0.05,0.05,Normal
09-04-2019 05:00,2.51,0,6.03,0,0,91.46,7823,5029,800,283,1993,2152,0.04,0.05,0.05,Normal
09-04-2019 05:05,2.02,0,6.57,0,0,91.41,7823,5029,799,283,1993,2151,0.05,0.04,0.05,Normal
09-04-2019 05:10,4.02,0,13.07,0,0,82.91,7823,5030,799,283,1993,2151,0.01,0.06,0.05,Normal
09-04-2019 05:15,2.53,0,7.07,0,0,90.4,7823,5030,799,283,1993,2151,0,0.04,0.05,Normal
09-04-2019 05:20,2.51,0,6.53,0,0,90.95,7823,5030,799,283,1993,2151,0.05,0.04,0.05,Normal
09-04-2019 05:25,2.02,0,5.56,0,0,92.42,7823,5029,800,283,1993,2152,0.01,0.04,0.05,Normal
09-04-2019 05:30,2.5,0,7.5,0,0,90,7823,5031,798,283,1993,2150,0,0.02,0.05,Normal
09-04-2019 05:35,2.53,0,9.09,0,0,88.38,7823,5030,799,283,1993,2151,0,0.01,0.05,Normal
09-04-2019 05:40,2.01,0,6.03,0,0,91.96,7823,5029,799,283,1993,2152,0.02,0.03,0.05,Normal
09-04-2019 05:45,2.51,0,6.53,0,0,90.95,7823,5028,800,283,1994,2152,0.07,0.06,0.05,Normal
